Sr. No,Name,Address,Pincode,City,State,Country,Type,admission_capacity,n_beds,latitude_coordinate,longitude_coordinate,gmaps_Latitude,gmaps_Longitude,gmaps_Accuracy,Accrediation,Domains,Contact,data_source_name,Surgical,Notes TJ,latitude_aleesha,longitude_aleesha,Manual Address,Latitude,Longitude,Postcode_py,address_py
24,Apollo Speciality Hospital Jayanagar,"21/2, 14th Cross Road, near Madhavan Park Circle, Jayanagar East, Jayanagar, Bengaluru, Karnataka ",560011,Bangalore,Karnataka,India,,,,,,12.93665357,77.58430694,0,"Non NABH
 Entry Level
 (15/11/2017
 â€“
 14/11/2019)
 &
 Non-NABL","Orthopaedics: Total Joint Replacement â€“ (Knee, Hip and Shoulder), Hand & Peripheral Nerve
 Surgery, Shoulder & Elbow Surgery, Foot & ankle Surgery, Arthroscopic Repair.Pulmonology
 & Interventional Pulmonology, Neurology, Neuro Surgery, Emergency & Trauma, Internal
 Medicine, General Surgery, GI Surgery & Minimal Access Surgery, Endocrinology,
 Rheumatology, Nephrology, Opthamology, Dermatology, ENT, Cardiology, Obstetrics &
 Gynaecology (out patient service), Oncology (Medical & Surgical), Vascular Surgery, Urology,
 Psychiatry( Outpatient service), Geriatrics, Plastic Surgery, Health Checks, Critical care,
 Maxillofacial Surgery, Radiology.
 Allied Services: Dialysis, Physiotherapy, Nutrition & Dietectics and any other facilities","Dr. Umesh â€“
 9845989987 â€“
 drumesh_n@apollo
 hospitals.com
 
 Dr. Prakash-
 9620215465 â€“
 drprakash_k@apoll
 ohospitals.com",CGHS_hospitals,1,,12.93643251,77.58433212,"Apollo Speciality Hospital Jayanagar, 21/2, 14th Cross Road, near Madhavan Park Circle, Jayanagar East, Jayanagar, Bengaluru, Karnataka , Bangalore, 560011",12.936434,77.5843284,560011,"Apollo Speciality Hospital, South End Road, Jayanagar 3rd Block, Yediyur Ward, South Zone, Bengaluru, Bangalore North, Bengaluru Urban District, Karnataka, 560011, India"
25,"Dental Health
 Clinic
 
 (w.e.f 25/03/2015)","150, 5th Cross,
 Koramangala, 5th
 Block, Next to Juice
 Junction,
 Bengaluru560095
",,Bangalore,Karnataka,India,,,,,,12.9366162,77.620274,GEOMETRIC_CENTER,"Non-NABH
 &
 Non-NABL",DENTAL CARE,"Mrs. Mary -
 9845507207 â€“
 dr_prasad_jili@yah
 oo.co.in
 
 Mrs. Hema Prasad -
 7892567141 -
 hema.prasad121@
 gmail.com",CGHS_hospitals,0,,,,"Dental Health
 Clinic
 
 (w.e.f 25/03/2015), 150, 5th Cross,
 Koramangala, 5th
 Block, Next to Juice
 Junction,
 Bengaluru560095
, Bangalore, ",12.9352156,77.6199608,560029,"Koramangala 5th Block, Koramangala, South Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560029, India"
26,Karthik Netralaya Eye Hospital,"89, 6th Cross Rd, CK Nagar, Ashok Nagar, Banashankari Stage I, Basavanagudi, Bengaluru, Karnataka ",560050,Bangalore,Karnataka,India,,,,,,12.93798075,77.56512953,ROOFTOP,"Non-NABH
 Entry Level
 (03/12/2016
 -
 02/12/2018)
 &
 Non-NABL",EXCLUSIVE EYE CARE CENTRE,"Deepa.M.S. -
 9886789799 -
 info@karthiknetral
 aya.com
 
 Nagalakshmi G.-
 9886789799 -
 info@karthiknetral
 aya.com",CGHS_hospitals,1,,12.93773211,77.5650876,"Karthik Netralaya Eye Hospital, 89, 6th Cross Rd, CK Nagar, Ashok Nagar, Banashankari Stage I, Basavanagudi, Bengaluru, Karnataka , Bangalore, 560050",12.9377153,77.5651462,560050,"Karthik Nethralaya, Subbarama Chetty Street, Basavanagudi Ward, South Zone, Bengaluru, Bangalore North, Bengaluru Urban District, Karnataka, 560050, India"
27,"Devi Super Speciality Eye Hospital Pvt Ltd
 ","434, 18th Main ,80 Feet Main Road, 6th Block, Koramangala, Bengaluru, Karnataka",560095,Bangalore,Karnataka,India,,,,,,12.94305086,77.62354096,0,"NABH
 (16/04/2018
 -
 15/04/2020)
 &
 NON NABL",EXCLUSIVE EYE CARE CENTRE,"Bharathi G Mohan â€“
 9880570094
 
 Tulasi -
 7259175326 -
 tulasirao-
 1983@gmail.com",CGHS_hospitals,1,,12.94095,77.62411,"Devi Super Speciality Eye Hospital Pvt Ltd
 , 434, 18th Main ,80 Feet Main Road, 6th Block, Koramangala, Bengaluru, Karnataka, Bangalore, 560095",12.9409461,77.624114,560047,"The Coorg Food Company, Srinivagilu Main Road, Koramangala 6th Block, Koramangala, South Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560047, India"
28,Parvathy Hospital,"241, GST Road Chromepet, Near MIT Bridge, Chennai, Tamil Nadu ",600044,Chennai,Tamil Nadu,India,,,,,,12.94660577,80.13651911,GEOMETRIC_CENTER,NON NABL,General,044 2238 2248,CGHS_hospitals,1,,12.94608125,80.13656112,"Parvathy Hospital, 241, GST Road Chromepet, Near MIT Bridge, Chennai, Tamil Nadu , Chennai, 600044",12.9459046,80.1365663,600059,"Sharada, Grand Southern Trunk Road, East Tambaram, Tambaram, Pallavaram, Chengalpattu District, Tamil Nadu, 600059, India"
29,"Sri Shankara Cancer Hospital & Research Centre
 ","1st Cross, Shankara Matt Premises, Shankarapuram, Basavanagudi, Bengaluru, Karnataka ",560004,Bangalore,Karnataka,India,,,,,,12.95418225,77.57119202,GEOMETRIC_CENTER,"Non NABH
 &
 Non NABL","Radiology, Radiation Oncology, Medical Oncology, Surgical Oncology, Anaesthsiology,
 Gastroenterology, Urology, Psycho-Oncology/Psychiatry, Plastic and Reconstructive Surgery,
 Neurosurgery, Paediatric Surgery, Pulmonology, Orthopedics, Physiotherapy, Blood
 Transfusion services, Diagnostic Services.","Raghavendra -
 9535074408,
 raghuu74408@gm
 ail.com
 
 Anil Kumar.V.R -
 9844611171,
 anilkumarvr143@g
 mail.com",CGHS_hospitals,1,,12.95406153,77.57119365,"Sri Shankara Cancer Hospital & Research Centre
 , 1st Cross, Shankara Matt Premises, Shankarapuram, Basavanagudi, Bengaluru, Karnataka , Bangalore, 560004",12.950285,77.570145,560004,"neem, Shankar Mutt Road, Gandhi Bazaar, Sunkenahalli Ward, South Zone, Bengaluru, Bangalore North, Bengaluru Urban District, Karnataka, 560004, India"
30,"AyurVAID Hospital
 (A division of
 Kerala First Health
 services Pvt. LTD)","# 230 Amar Jyothi
 layout, Off
 Intermediate Ring
 Road, Domlur
 Extension,
 Bangalore -
 560071.",,Bangalore,Karnataka,India,,,,,,12.955211,77.642794,0,"NABH
 &
 Non-NABL","Poorvakarma {Amapachana procedures, Snehana procedures (Bahya Snehana, Abhyantara
 Snehana), Swedena Procedures (Tapa Swedana, Upanaha Swedana, Oosma Swedana, Drava
 Swedana, Pinda Swedana, Bashpa Swedana), Rookshana procedures} Panchakarma ( Vasti,
 Virechana, Vamana, Nasya)
 Paschatkarma (Samsarjana Karma, Bruhmana Procedures, Rasayana Chikitsa)
 Special Programs (Jalaukavacharanam, AyurVAID Health Check up, Functional Health
 Management (FHE) programe, Disease Management Programes (DMP), Lifestyle Disorders
 Management Programe, Ritu Shodhana (seasonal cleansing) Programe, Garbha Samskara
 Programme)
 Other Services (Yoga & Swastha Vritta, Physiotherapy, Dietary Services)
 Clinical Services {Cardiology (Hrudroga), Care of Elderly (Jara Chikitsa), Dermatology (Tvak
 Vikara), Endocrinology, Ophthalmology (Netra Chikitsa), Gastroenterology (Annavaha srotas
 vikara), General Medicine (Kayachikitsa), Gynaecology (Streeroga), Psychiatry (Manasa
 Roga), Nephrology (Vrukka Roga), Neurology (Vata Vyadhi), Obstetrics (Prasuti Tantra:
 Ante-Natal, Post-natal, sub-fertility), Orthopaedics (Asthi Sandhi Vikara), Paediatrics
 (Kaumarbhritya), Palliative care (Shushrusha Vibhaga), Preventive Medicine (Swastha
 Vritta), Ano-rectal Conditions (Medicinal), Rehabilitation Medicine(Shvasa Raoga),
 Toxicology (Visha Chikitsa-dushi visha), Urology (Mutravaha Srotas Vikara)","Manjunath R
 9980164160
 manjunath_r@ayu
 rvaid.com
 
 Dr.Azhar
 7022011301
 Azhar_shajahan@a
 yurvaid.com",CGHS_hospitals,0,,,,"AyurVAID Hospital
 (A division of
 Kerala First Health
 services Pvt. LTD), # 230 Amar Jyothi
 layout, Off
 Intermediate Ring
 Road, Domlur
 Extension,
 Bangalore -
 560071., Bangalore, ",12.9539498,77.641089,560071,"Inner Ring Road, Agaram, East Zone, Bengaluru, Bangalore North, Bengaluru Urban District, Karnataka, 560071, India"
31,"Bangalore West Lions Super Speciality Eye Hospital
 ","No. 5, Lions Eye Hospital Road, Off J. C. Road, Next to Bank of Baroda, Bengaluru, Karnataka ",560002,Bangalore,Karnataka,India,,,,,,12.95662429,77.58309886,GEOMETRIC_CENTER,"NABH
 (31/03/2015
 -
 30/03/2018)
 
 &
 Non NABL",EXCLUSIVE EYE CARE CENTRE,"Sikander Khan -
 9740129213
 feedback@bwlionse
 yehospital.org
 
 Pushpalatha -
 9902014464
 counselling@bwlion
 seyehospital.org",CGHS_hospitals,1,,12.95634632,77.58308221,"Bangalore West Lions Super Speciality Eye Hospital
 , No. 5, Lions Eye Hospital Road, Off J. C. Road, Next to Bank of Baroda, Bengaluru, Karnataka , Bangalore, 560002",12.9715987,77.5945627,560001,"St. Joseph's Indian High School, 1st Cross Road, D'Souza Layout, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bengaluru Urban District, Karnataka, 560001, India"
32,"Mediclu
 Diagnostics &
 Speciality Centre
 ","No 79,kendra upadyayara sangha layout,Nagarbhavi circle,nagarbhavi , Bangalore - 560072",,Bangalore,Karnataka,India,,,,,,12.9586632,77.5183551,GEOMETRIC_CENTER,Non NABH and NABL,"Radiology Services: MRI 1.5 Tesla, CT Scan, 4D/3D Ultra Sound Scan, Digital
 Radiography X-Ray, Mammogram. OPG, HSG
 
 Laboratory Services: Hematology, Biochemistry, Immunohistochemistry, Pathology,
 Histopathology, Microbiology, Clinical Pathology
 
 Others: 2D-Echo, TMT,
 PFT, Physiotheraphy, EEG, Superspeciality Clinics","Dr. K
 Satyanarayana
 7204031848
 drsatyanarayana
 @gmail.com
 
 Dr. B Vidya
 9986733333
 drvidyanarayan
 @gmail.com",CGHS_hospitals,0,,,,"Mediclu
 Diagnostics &
 Speciality Centre
 , No 79,kendra upadyayara sangha layout,Nagarbhavi circle,nagarbhavi , Bangalore - 560072, Bangalore, ",12.9719321,77.512749,560072,"Nagarabhavi, Kottigepalya, Rajarajeshwari Nagar Zone, Bengaluru, Bangalore North, Bengaluru Urban District, Karnataka, 560072, India"
33,"PAN Nagarbhavi Hospitals Pvt Ltd.
 ","No. 611/612,
 Nagarbhavi Main
 Road, 2nd stage,
 Vinayaka Layout,
 Nagarbhavi,
 Bengaluru, Bangalore, 560072",560072,Bangalore,Karnataka,India,,,,,,12.961279,77.511687,0,"Non-NABH
 NABH Entry Level
 (20/12/2018 -
 19/12/2020)
 
 Non- NABL","Laparoscopic Surgeries, Orthopaedics, Neurology, Neurosurgery, Obstetrics & Gynaecology,
 ENT, Internal Medicine, Urology, Surgical Gastroenterology, Medical Gastroenterology,
 Medical and Surgical Oncology, Paediatrics, Nephrology, Radiology, Plastic Surgery,
 Dermatology, Spine Surgery, General Surgery, Diagnostics & Radiology.","Sundereshwaran
 978175115
 
 Mr.Jesuraj J
 9972832207
 jesuraj@gmhospita
 ls.in",CGHS_hospitals,1,Cant find on maps,12.961291,77.5116912,"PAN Nagarbhavi Hospitals Pvt Ltd.
 , No. 611/612,
 Nagarbhavi Main
 Road, 2nd stage,
 Vinayaka Layout,
 Nagarbhavi,
 Bengaluru, Bangalore, 560072",12.961291,77.5116912,560072,"PAN Nagarbhavi Hospitals Pvt Ltd.
 , No. 611/612,
 Nagarbhavi Main
 Road, 2nd stage,
 Vinayaka Layout,
 Nagarbhavi,
 Bengaluru, Bangalore, 560072"
34,"HealthCare Global Enterprises Ltd.
","No.8, HCG Towers,
 P. Kalinga Rao
 Road,
 Sampangiram
 Nagar, Bangalore-

 
",560027,Bangalore,Karnataka,India,,,,,,12.96441635,77.58971448,GEOMETRIC_CENTER,"NABH
 (12/05/2018
 -
 11/05/2021)
 
 &
 NABL
 (26/10/2017
 -
 25/10/2019)","Comprehensive Cancer Care including Medical Oncology â€“ Adult & Paediatrics, Surgical
 Oncology with Sub Specialty Radiation Oncology,Hematology&Hemato oncology, Bone
 Marrow Transplant, Liver Transplant, Genomics, Laboratory Services, Blood Bank, PET CT
 Scan, CT, MRI, Digital Mammography, X-Ray, U/S., Nuclear Medicine Therapies (Iodine 131
 for Thyroid Cancer), Hepatobiliary & Plastic Surgery.","Pavan Kumar -
 7019246199 -
 insurancehelpdesk.
 hcgkr@gmail.com
 
 Swetha -
 7406688990 -
 hcgcreditdispatch
 @hcgoncology.com",CGHS_hospitals,1,,12.96425212,77.58972321,"HealthCare Global Enterprises Ltd.
, No.8, HCG Towers,
 P. Kalinga Rao
 Road,
 Sampangiram
 Nagar, Bangalore-

 
, Bangalore, 560027",12.9634668,77.5894975,560027,"HCG Tower 4, 8, ೧೧ನೇ ಮುಖ್ಯ ರಸ್ತೆ, Sampangi Rama Nagara, Sampangiram Nagar Ward, East Zone, Bengaluru, Bangalore North, Bengaluru Urban District, Karnataka, 560027, India"
35,"P D Hinduja Sindhi Hospital
","15, 2, 12th Cross Rd, Sampangi Rama Nagara, Bengaluru, Karnataka ",560027,Bangalore,Karnataka,India,,,,,,12.96491403,77.59262012,ROOFTOP,"NABH
 (11/04/2017
 -
 10/04/2020)
 
 &
 NABL
 (19/03/2017
 -
 18/03/2019)","General Medicine, Opthalmology, E.N.T, Dental, Urology, Neuro Surgery, Plastic Surgery,
 General Surgery, Paediatrics, Obstetrics &Gynecology, Orthopedics, Physiotherapy,
 Laparoscopic Surgery, Micro Surgery, Urethrotomy, Diagnostic services including Ultrasound
 Scanning, Echo Cardiography Colour Dopplar Vascular Imaging, Treadmill Cardiac Stress
 Test (TMT), Foetal Monitor Computerised Radiography Video Endoscopy Video Colonoscopy
 Pulmonary Function.","Jyothi K.M -
 8884458691,
 jyothikm@hindujas
 indhihospital.com
 
 Anitha Bai.S.P -
 8884458690 -
 billing@hindujasin
 dhihospital.com",CGHS_hospitals,1,,12.96464,77.59256,"P D Hinduja Sindhi Hospital
, 15, 2, 12th Cross Rd, Sampangi Rama Nagara, Bengaluru, Karnataka , Bangalore, 560027",12.9646422,77.5925625,560027,"Pd Hinduja Sindhi Hospital, ೧೩ನೇ ಅಡ್ಡ ರಸ್ತೆ, Sampangi Rama Nagara, Sampangiram Nagar Ward, East Zone, Bengaluru, Bangalore North, Bengaluru Urban District, Karnataka, 560027, India"
36,Narayana Netralaya 3,"37, Castle St, Ashok Nagar, Bengaluru, Karnataka ",560025,Bangalore,Karnataka,India,,,,,,12.96730881,77.60939859,ROOFTOP,"Non-NABH
 &
 Non-NABL",EXCLUSIVE EYE CARE CENTRE,"Erannaiah
 9740710268 -
 erannaiah@naraya
 nanethralaya.com",CGHS_hospitals,1,,12.96719,77.60939,"Narayana Netralaya 3, 37, Castle St, Ashok Nagar, Bengaluru, Karnataka , Bangalore, 560025",12.9671676,77.6094776,560025,"Narayana Netralaya, 37, Castle Street, Ashok Nagar, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bengaluru Urban District, Karnataka, 560025, India"
37,"Mallya Hospital
","No.2, Vittal Mallya Rd, Ashok Nagar, Bengaluru, Karnataka ",560001,Bangalore,Karnataka,India,,,,,,12.96820379,77.59505603,ROOFTOP,"NABH
 (18/07/2017
 -
 17/01/2020)
 &
 NABL
 (16/05/2017
 -
 15/05/2019)","Cardiology, Cardiothoracic Surgery,Dentistry ,Dermatology, Endocrinology, ENT,
 Gastroenterology, General and Minimal Invasive Surgery, Internal Medicine, Maxillofacial
 Neonatology, Nephrology, Neurology, Neuro Surgery,Obstetrics&Gynecology, Oncology, Onco
 Surgery, Ophthalmology ,Orthodontist, Orthopedics, Pediatrics, Pediatric, Cardiology,
 Pediatric Surgery, Plastic Surgery, Preventive Health Checkups, Psychiatry, Pulmonary
 Medicine, Radiology, Speech Therapy, Urology,Vascular Surgery.","S.Namdev Rao
 9880281773
 
 Jagadish B
 9483045025",CGHS_hospitals,1,,12.96806,77.59507,"Mallya Hospital
, No.2, Vittal Mallya Rd, Ashok Nagar, Bengaluru, Karnataka , Bangalore, 560001",12.9679749,77.595018,560001,"Vydehi Super Speciality Hospital, 2, Vittal Mallya Road, Sampangirama Nagar, Sampangiram Nagar Ward, East Zone, Bengaluru, Bangalore North, Bengaluru Urban District, Karnataka, 560001, India"
38,Hosmat Hospital,"45, Magrath Road, Richmond Rd, Bengaluru, Karnataka ",560025,Bangalore,Karnataka,India,,,,,,12.96940791,77.61329512,GEOMETRIC_CENTER,"NABH
 (12/01/2015
 -
 11/01/2018)
 &
 Non-NABL","Orthopaedics, Paediatric Orthopaedics,Accident-Trauma,Rheumatology, Sports Medicine,
 Joint Replacement, Neurosurgery, Spine Surgery, Neurology, Faciomaxillary,
 Dermatology&Cosmetology, Plastic Surgery, Ent, Urology, Physical&Rehabilitation Medicine,
 Corporate Health Plan, Non Invasive Cardiology, General Surgery, Gynaecology, Hang
 Surgery, Internal Medicine, Pulmonology, Anaesthesiology, Dietics, Physiotherapy ,
 Occupational Therapy, Neuro Rehabilitation, Ambulance Services(24/7), Pharmacy(24/7),
 Laboratory(24/7), Mri Scan, Ct Scan, Ultrasound Scan, X-Ray, Bone Densitometry, Clinical
 Bio-Chemistry, Clinical Pathology, Haematology, Clinical Microbiology & Serology, Blood
 Bank (Whole Blood Only), Blood Transfusion Services.","Vijayalakshmi.V -
 9483888747,
 billing@hospitals.c
 om
 
 Amar Kalyani -
 9844470489,
 amarklyn@yahoo.c
 om",CGHS_hospitals,1,,12.96916,77.61333,"Hosmat Hospital, 45, Magrath Road, Richmond Rd, Bengaluru, Karnataka , Bangalore, 560025",12.9691194,77.6133651,560025,"Hosmat Hospital, Magrath Road, Ashok Nagar, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bengaluru Urban District, Karnataka, 560025, India"
39,"Nethradhama Super speciality Eye Hospital, Indiranagar
","Madurai Idly Shop 29, 80 Feet Road Landmark:, opp. to HAL 3rd Stage, Indiranagar, Bengaluru, Karnataka ",560008,Bangalore,Karnataka,India,,,,,,12.97211129,77.64735237,0,"Non-NABH
 Entry Level
 (19/08/2018
 -
 18/08/2020)
 &
 NON NABL",EXCLUSIVE EYE CARE CENTRE,"Dr. Harsha -
 8197351609 -
 nhplindr@nethradh
 ama.org
 
 Vadiraj.H.S -
 9449003770,
 pr@nethredhama.o
 rg",CGHS_hospitals,1,,12.97188,77.64736,"Nethradhama Super speciality Eye Hospital, Indiranagar
, Madurai Idly Shop 29, 80 Feet Road Landmark:, opp. to HAL 3rd Stage, Indiranagar, Bengaluru, Karnataka , Bangalore, 560008",12.9718813,77.6473631,560038,"Microvillage Communications Pvt Ltd, 80 Feet Road, HAL 3rd Stage, Hosa Tippasandra, East Zone, Bengaluru, Bangalore East, Bengaluru Urban District, Karnataka, 560038, India"
40,"Elbit Medical
 Diagnostic Limited
 
 (w.e.f 17/11/2014)","1&1/2. QUEENS
 ROAD, BANGALORE
 -560001.",,Bangalore,Karnataka,India,,,,,,12.983384,77.596788,0,"Non-NABH
 &
 NABL
 (08/07/2018
 Ã¢â‚¬â€œ
 07/07/2020)","MRI , CT, Nuclear Meducine, Echocardiograpy, T.M.T/E.C.G Mammograpy , Bone
 Densitometery, Radiography(Digital X-Ray), Pathology, Biochemistry&Microbiology,
 Ultrasound ,, Diagnostic Endosocy/ERCP, Moleculer Diagnostics, E.E.G.,E.N.M.G & NCV","Padmini.S.Ergal
 8105262000
 corp_blr@elibitdia
 gnostics.com
 
 Sunitha J-
 8861461831
 corp_blr@elibitdia
 gnostics.com",CGHS_hospitals,0,,,,"Elbit Medical
 Diagnostic Limited
 
1&1/2. QUEENS
 ROAD, BANGALORE
 -560001., Bangalore, ",12.9843116,77.5973303,560051,"Elbit Medical
 Diagnostic Limited
 
1&1/2. QUEENS
 ROAD, BANGALORE
 -560001., Bangalore, "
41,Apollo Hospitals Enterprise Ltd Sheshadripuram,"No. 1, Old No. 28, Platform Road Near Mantri Square Mall, Seshadripuram, Bengaluru, Karnataka ",560020,Bangalore,Karnataka,India,,,,,,12.98852172,77.57265572,GEOMETRIC_CENTER,"NABH
 (18/02/2018
 â€“
 17/02/2021)
 
 &
 Non-NABL","Cardiology (Adult & Paediatric), Cardiothoracic & Vascular Surgery( Adult & Paediatric),
 Neurology & Neurosurgery, Urology (Including Laser Turp & Lithotripsy), Nephrology
 (including Dialysis & Kidney Transplantation), Medical Gastroenterology, Endocrinology,
 Endocrine Surgery, Medical Oncology & Surgical Oncology, Orthopaedics (Including Joint
 Replacements), Paediatric Surgery, ENT Surgery, Vascular Surgery, Internal Medicine,
 General & Laproscopic Surgery, Emergency Medicine, Paediatrics, Critical Care, Gynaecology,
 Pulmonology, Organ Transplantation (Liver & Kidney), Diagnostics (Laboratory &
 Radiology).
 Laboratory & Radiology : CT Scan , MRI , Mammography, EEG, ENMG, Video EEG and any
 other available facilities.","Dr.Nisha â€“
 7506122811 â€“
 
 Lokesh. 99160151
 11
 
 Pradeep 9060606
 081",CGHS_hospitals,1,,12.9883,77.57269,"Apollo Hospitals Enterprise Ltd Sheshadripuram, No. 1, Old No. 28, Platform Road Near Mantri Square Mall, Seshadripuram, Bengaluru, Karnataka , Bangalore, 560020",12.9821403,77.5704216,560009,"Old Mysuru Road, Gandhinagar, West Zone, Bengaluru, Bangalore North, Bengaluru Urban District, Karnataka, Bengaluru Division, 560009, India"
42,"Fortis Hospitals Limited Cunningham Road Limited.
","14 Cunningham Road near Sigma Central Mall, Vasanth Nagar, Bengaluru, Karnataka ",560052,Bangalore,Karnataka,India,,,,,,12.99038961,77.59449087,GEOMETRIC_CENTER,"NABH
 &
 NABL","CTVS, Cardiology, Orthopedics, General Medcine, Urology, Gastroenterology.","Satish Kumar R U
 9886987557
 Satish.ru@fortishe
 althcare.com
 
 Mahesh babu
 9845403963
 Mahesh.sn@fortish
 ealthcare.com",CGHS_hospitals,1,,12.98833,77.5944,"Fortis Hospitals Limited Cunningham Road Limited.
, 14 Cunningham Road near Sigma Central Mall, Vasanth Nagar, Bengaluru, Karnataka , Bangalore, 560052",12.9882802,77.5943373,560052,"Fortis Hospitals Limited, Bengaluru Urban, Cunningham Road, Sampangiram Nagar Ward, East Zone, Bengaluru, Bangalore North, Bengaluru Urban District, Karnataka, 560052, India"
43,Smiles Dental Care,"NAGENDRA
 MEDICALS,
 NAGAVARPALYA
 MAIN ROAD,
 C.V.RAMAN NAGAR,
 BANGALORE
 560093, Bangalore, ",,Bangalore,Karnataka,India,,,,,,12.989247,77.66404,0,"NON NABH
 &
 NON NABL",DENTAL CARE,"Prasad V.K. -
 9035350000 -
 get2prasadsmilesd
 ental@gmail.com
 
 Dr. Anjali Nair -
 9241177880 -
 dr.anjalinair@yaho
 o.co.in",CGHS_hospitals,0,,,,"Smiles Dental Care
 NAGENDRA
 MEDICALS,
 NAGAVARPALYA
 MAIN ROAD,
 C.V.RAMAN NAGAR,
 BANGALORE
 560093, Bangalore, ",12.983093,77.680481,560093,"Smiles Dental Care NAGENDRA MEDICALS, NAGAVARPALYA MAIN ROAD, C.V.RAMAN NAGAR, BANGALORE 560093, Bangalore,"
