Sr. No,Name,Address,Pincode,City,State,Country,Type,admission_capacity,n_beds,latitude_coordinate,longitude_coordinate,gmaps_Latitude,gmaps_Longitude,gmaps_Accuracy,Accrediation,Domains,Contact,data_source_name,Surgical,Notes TJ,latitude_aleesha,longitude_aleesha,Manual Address,Latitude,Longitude
30,"AyurVAID Hospital
 (A division of
 Kerala First Health
 services Pvt. LTD)","# 230 Amar Jyothi
 layout, Off
 Intermediate Ring
 Road, Domlur
 Extension,
 Bangalore -
 560071.",,Bangalore,Karnataka,India,,,,,,12.955211,77.642794,0,"NABH
 &
 Non-NABL","Poorvakarma {Amapachana procedures, Snehana procedures (Bahya Snehana, Abhyantara
 Snehana), Swedena Procedures (Tapa Swedana, Upanaha Swedana, Oosma Swedana, Drava
 Swedana, Pinda Swedana, Bashpa Swedana), Rookshana procedures} Panchakarma ( Vasti,
 Virechana, Vamana, Nasya)
 Paschatkarma (Samsarjana Karma, Bruhmana Procedures, Rasayana Chikitsa)
 Special Programs (Jalaukavacharanam, AyurVAID Health Check up, Functional Health
 Management (FHE) programe, Disease Management Programes (DMP), Lifestyle Disorders
 Management Programe, Ritu Shodhana (seasonal cleansing) Programe, Garbha Samskara
 Programme)
 Other Services (Yoga & Swastha Vritta, Physiotherapy, Dietary Services)
 Clinical Services {Cardiology (Hrudroga), Care of Elderly (Jara Chikitsa), Dermatology (Tvak
 Vikara), Endocrinology, Ophthalmology (Netra Chikitsa), Gastroenterology (Annavaha srotas
 vikara), General Medicine (Kayachikitsa), Gynaecology (Streeroga), Psychiatry (Manasa
 Roga), Nephrology (Vrukka Roga), Neurology (Vata Vyadhi), Obstetrics (Prasuti Tantra:
 Ante-Natal, Post-natal, sub-fertility), Orthopaedics (Asthi Sandhi Vikara), Paediatrics
 (Kaumarbhritya), Palliative care (Shushrusha Vibhaga), Preventive Medicine (Swastha
 Vritta), Ano-rectal Conditions (Medicinal), Rehabilitation Medicine(Shvasa Raoga),
 Toxicology (Visha Chikitsa-dushi visha), Urology (Mutravaha Srotas Vikara)","Manjunath R
 9980164160
 manjunath_r@ayu
 rvaid.com
 
 Dr.Azhar
 7022011301
 Azhar_shajahan@a
 yurvaid.com",CGHS_hospitals,0,,,,"AyurVAID Hospital
 (A division of
 Kerala First Health
 services Pvt. LTD), # 230 Amar Jyothi
 layout, Off
 Intermediate Ring
 Road, Domlur
 Extension,
 Bangalore -
 560071., Bangalore, ",12.9539498,77.641089
31,"Bangalore West Lions Super Speciality Eye Hospital
 ","No. 5, Lions Eye Hospital Road, Off J. C. Road, Next to Bank of Baroda, Bengaluru, Karnataka ",560002,Bangalore,Karnataka,India,,,,,,12.95662429,77.58309886,GEOMETRIC_CENTER,"NABH
 (31/03/2015
 -
 30/03/2018)
 
 &
 Non NABL",EXCLUSIVE EYE CARE CENTRE,"Sikander Khan -
 9740129213
 feedback@bwlionse
 yehospital.org
 
 Pushpalatha -
 9902014464
 counselling@bwlion
 seyehospital.org",CGHS_hospitals,1,,12.95634632,77.58308221,"Bangalore West Lions Super Speciality Eye Hospital
 , No. 5, Lions Eye Hospital Road, Off J. C. Road, Next to Bank of Baroda, Bengaluru, Karnataka , Bangalore, 560002",12.9715987,77.5945627
32,"Mediclu
 Diagnostics &
 Speciality Centre
 ","No 79,kendra upadyayara sangha layout,Nagarbhavi circle,nagarbhavi , Bangalore - 560072",,Bangalore,Karnataka,India,,,,,,12.9586632,77.5183551,GEOMETRIC_CENTER,Non NABH and NABL,"Radiology Services: MRI 1.5 Tesla, CT Scan, 4D/3D Ultra Sound Scan, Digital
 Radiography X-Ray, Mammogram. OPG, HSG
 
 Laboratory Services: Hematology, Biochemistry, Immunohistochemistry, Pathology,
 Histopathology, Microbiology, Clinical Pathology
 
 Others: 2D-Echo, TMT,
 PFT, Physiotheraphy, EEG, Superspeciality Clinics","Dr. K
 Satyanarayana
 7204031848
 drsatyanarayana
 @gmail.com
 
 Dr. B Vidya
 9986733333
 drvidyanarayan
 @gmail.com",CGHS_hospitals,0,,,,"Mediclu
 Diagnostics &
 Speciality Centre
 , No 79,kendra upadyayara sangha layout,Nagarbhavi circle,nagarbhavi , Bangalore - 560072, Bangalore, ",12.9719321,77.512749
33,"PAN Nagarbhavi Hospitals Pvt Ltd.
 ","No. 611/612,
 Nagarbhavi Main
 Road, 2nd stage,
 Vinayaka Layout,
 Nagarbhavi,
 Bengaluru",560072,Bangalore,Karnataka,India,,,,,,12.961279,77.511687,0,"Non-NABH
 NABH Entry Level
 (20/12/2018 -
 19/12/2020)
 
 Non- NABL","Laparoscopic Surgeries, Orthopaedics, Neurology, Neurosurgery, Obstetrics & Gynaecology,
 ENT, Internal Medicine, Urology, Surgical Gastroenterology, Medical Gastroenterology,
 Medical and Surgical Oncology, Paediatrics, Nephrology, Radiology, Plastic Surgery,
 Dermatology, Spine Surgery, General Surgery, Diagnostics & Radiology.","Sundereshwaran
 978175115
 
 Mr.Jesuraj J
 9972832207
 jesuraj@gmhospita
 ls.in",CGHS_hospitals,1,Cant find on maps,12.961291,77.5116912,"PAN Nagarbhavi Hospitals Pvt Ltd.
 , No. 611/612,
 Nagarbhavi Main
 Road, 2nd stage,
 Vinayaka Layout,
 Nagarbhavi,
 Bengaluru, Bangalore, 560072",12.9617829,77.5215213
34,"HealthCare Global Enterprises Ltd.
","No.8, HCG Towers,
 P. Kalinga Rao
 Road,
 Sampangiram
 Nagar, Bangalore-

 
",560027,Bangalore,Karnataka,India,,,,,,12.96441635,77.58971448,GEOMETRIC_CENTER,"NABH
 (12/05/2018
 -
 11/05/2021)
 
 &
 NABL
 (26/10/2017
 -
 25/10/2019)","Comprehensive Cancer Care including Medical Oncology â€“ Adult & Paediatrics, Surgical
 Oncology with Sub Specialty Radiation Oncology,Hematology&Hemato oncology, Bone
 Marrow Transplant, Liver Transplant, Genomics, Laboratory Services, Blood Bank, PET CT
 Scan, CT, MRI, Digital Mammography, X-Ray, U/S., Nuclear Medicine Therapies (Iodine 131
 for Thyroid Cancer), Hepatobiliary & Plastic Surgery.","Pavan Kumar -
 7019246199 -
 insurancehelpdesk.
 hcgkr@gmail.com
 
 Swetha -
 7406688990 -
 hcgcreditdispatch
 @hcgoncology.com",CGHS_hospitals,1,,12.96425212,77.58972321,"HealthCare Global Enterprises Ltd.
, No.8, HCG Towers,
 P. Kalinga Rao
 Road,
 Sampangiram
 Nagar, Bangalore-

 
, Bangalore, 560027",12.9634668,77.5894975
35,"P D Hinduja Sindhi Hospital
","15, 2, 12th Cross Rd, Sampangi Rama Nagara, Bengaluru, Karnataka ",560027,Bangalore,Karnataka,India,,,,,,12.96491403,77.59262012,ROOFTOP,"NABH
 (11/04/2017
 -
 10/04/2020)
 
 &
 NABL
 (19/03/2017
 -
 18/03/2019)","General Medicine, Opthalmology, E.N.T, Dental, Urology, Neuro Surgery, Plastic Surgery,
 General Surgery, Paediatrics, Obstetrics &Gynecology, Orthopedics, Physiotherapy,
 Laparoscopic Surgery, Micro Surgery, Urethrotomy, Diagnostic services including Ultrasound
 Scanning, Echo Cardiography Colour Dopplar Vascular Imaging, Treadmill Cardiac Stress
 Test (TMT), Foetal Monitor Computerised Radiography Video Endoscopy Video Colonoscopy
 Pulmonary Function.","Jyothi K.M -
 8884458691,
 jyothikm@hindujas
 indhihospital.com
 
 Anitha Bai.S.P -
 8884458690 -
 billing@hindujasin
 dhihospital.com",CGHS_hospitals,1,,12.96464,77.59256,"P D Hinduja Sindhi Hospital
, 15, 2, 12th Cross Rd, Sampangi Rama Nagara, Bengaluru, Karnataka , Bangalore, 560027",12.9646422,77.5925625
36,Narayana Netralaya 3,"37, Castle St, Ashok Nagar, Bengaluru, Karnataka ",560025,Bangalore,Karnataka,India,,,,,,12.96730881,77.60939859,ROOFTOP,"Non-NABH
 &
 Non-NABL",EXCLUSIVE EYE CARE CENTRE,"Erannaiah
 9740710268 -
 erannaiah@naraya
 nanethralaya.com",CGHS_hospitals,1,,12.96719,77.60939,"Narayana Netralaya 3, 37, Castle St, Ashok Nagar, Bengaluru, Karnataka , Bangalore, 560025",12.9671676,77.6094776
37,"Mallya Hospital
","No.2, Vittal Mallya Rd, Ashok Nagar, Bengaluru, Karnataka ",560001,Bangalore,Karnataka,India,,,,,,12.96820379,77.59505603,ROOFTOP,"NABH
 (18/07/2017
 -
 17/01/2020)
 &
 NABL
 (16/05/2017
 -
 15/05/2019)","Cardiology, Cardiothoracic Surgery,Dentistry ,Dermatology, Endocrinology, ENT,
 Gastroenterology, General and Minimal Invasive Surgery, Internal Medicine, Maxillofacial
 Neonatology, Nephrology, Neurology, Neuro Surgery,Obstetrics&Gynecology, Oncology, Onco
 Surgery, Ophthalmology ,Orthodontist, Orthopedics, Pediatrics, Pediatric, Cardiology,
 Pediatric Surgery, Plastic Surgery, Preventive Health Checkups, Psychiatry, Pulmonary
 Medicine, Radiology, Speech Therapy, Urology,Vascular Surgery.","S.Namdev Rao
 9880281773
 
 Jagadish B
 9483045025",CGHS_hospitals,1,,12.96806,77.59507,"Mallya Hospital
, No.2, Vittal Mallya Rd, Ashok Nagar, Bengaluru, Karnataka , Bangalore, 560001",12.9679749,77.595018
38,Hosmat Hospital,"45, Magrath Road, Richmond Rd, Bengaluru, Karnataka ",560025,Bangalore,Karnataka,India,,,,,,12.96940791,77.61329512,GEOMETRIC_CENTER,"NABH
 (12/01/2015
 -
 11/01/2018)
 &
 Non-NABL","Orthopaedics, Paediatric Orthopaedics,Accident-Trauma,Rheumatology, Sports Medicine,
 Joint Replacement, Neurosurgery, Spine Surgery, Neurology, Faciomaxillary,
 Dermatology&Cosmetology, Plastic Surgery, Ent, Urology, Physical&Rehabilitation Medicine,
 Corporate Health Plan, Non Invasive Cardiology, General Surgery, Gynaecology, Hang
 Surgery, Internal Medicine, Pulmonology, Anaesthesiology, Dietics, Physiotherapy ,
 Occupational Therapy, Neuro Rehabilitation, Ambulance Services(24/7), Pharmacy(24/7),
 Laboratory(24/7), Mri Scan, Ct Scan, Ultrasound Scan, X-Ray, Bone Densitometry, Clinical
 Bio-Chemistry, Clinical Pathology, Haematology, Clinical Microbiology & Serology, Blood
 Bank (Whole Blood Only), Blood Transfusion Services.","Vijayalakshmi.V -
 9483888747,
 billing@hospitals.c
 om
 
 Amar Kalyani -
 9844470489,
 amarklyn@yahoo.c
 om",CGHS_hospitals,1,,12.96916,77.61333,"Hosmat Hospital, 45, Magrath Road, Richmond Rd, Bengaluru, Karnataka , Bangalore, 560025",12.9691194,77.6133651
39,"Nethradhama Super speciality Eye Hospital, Indiranagar
","Madurai Idly Shop 29, 80 Feet Road Landmark:, opp. to HAL 3rd Stage, Indiranagar, Bengaluru, Karnataka ",560008,Bangalore,Karnataka,India,,,,,,12.97211129,77.64735237,0,"Non-NABH
 Entry Level
 (19/08/2018
 -
 18/08/2020)
 &
 NON NABL",EXCLUSIVE EYE CARE CENTRE,"Dr. Harsha -
 8197351609 -
 nhplindr@nethradh
 ama.org
 
 Vadiraj.H.S -
 9449003770,
 pr@nethredhama.o
 rg",CGHS_hospitals,1,,12.97188,77.64736,"Nethradhama Super speciality Eye Hospital, Indiranagar
, Madurai Idly Shop 29, 80 Feet Road Landmark:, opp. to HAL 3rd Stage, Indiranagar, Bengaluru, Karnataka , Bangalore, 560008",12.9718813,77.6473631
40,"Elbit Medical
 Diagnostic Limited
 
 (w.e.f 17/11/2014)","1&1/2. QUEENS
 ROAD, BANGALORE
 -560001.",,Bangalore,Karnataka,India,,,,,,12.983384,77.596788,0,"Non-NABH
 &
 NABL
 (08/07/2018
 â€“
 07/07/2020)","MRI , CT, Nuclear Meducine, Echocardiograpy, T.M.T/E.C.G Mammograpy , Bone
 Densitometery, Radiography(Digital X-Ray), Pathology, Biochemistry&Microbiology,
 Ultrasound ,, Diagnostic Endosocy/ERCP, Moleculer Diagnostics, E.E.G.,E.N.M.G & NCV","Padmini.S.Ergal
 8105262000
 corp_blr@elibitdia
 gnostics.com
 
 Sunitha J-
 8861461831
 corp_blr@elibitdia
 gnostics.com",CGHS_hospitals,0,,,,"Elbit Medical
 Diagnostic Limited
 
 (w.e.f 17/11/2014), 1&1/2. QUEENS
 ROAD, BANGALORE
 -560001., Bangalore, ",12.9843116,77.5973303
41,Apollo Hospitals Enterprise Ltd Sheshadripuram,"No. 1, Old No. 28, Platform Road Near Mantri Square Mall, Seshadripuram, Bengaluru, Karnataka ",560020,Bangalore,Karnataka,India,,,,,,12.98852172,77.57265572,GEOMETRIC_CENTER,"NABH
 (18/02/2018
 â€“
 17/02/2021)
 
 &
 Non-NABL","Cardiology (Adult & Paediatric), Cardiothoracic & Vascular Surgery( Adult & Paediatric),
 Neurology & Neurosurgery, Urology (Including Laser Turp & Lithotripsy), Nephrology
 (including Dialysis & Kidney Transplantation), Medical Gastroenterology, Endocrinology,
 Endocrine Surgery, Medical Oncology & Surgical Oncology, Orthopaedics (Including Joint
 Replacements), Paediatric Surgery, ENT Surgery, Vascular Surgery, Internal Medicine,
 General & Laproscopic Surgery, Emergency Medicine, Paediatrics, Critical Care, Gynaecology,
 Pulmonology, Organ Transplantation (Liver & Kidney), Diagnostics (Laboratory &
 Radiology).
 Laboratory & Radiology : CT Scan , MRI , Mammography, EEG, ENMG, Video EEG and any
 other available facilities.","Dr.Nisha â€“
 7506122811 â€“
 
 Lokesh. 99160151
 11
 
 Pradeep 9060606
 081",CGHS_hospitals,1,,12.9883,77.57269,"Apollo Hospitals Enterprise Ltd Sheshadripuram, No. 1, Old No. 28, Platform Road Near Mantri Square Mall, Seshadripuram, Bengaluru, Karnataka , Bangalore, 560020",12.9821403,77.5704216
42,"Fortis Hospitals Limited Cunningham Road Limited.
","14 Cunningham Road near Sigma Central Mall, Vasanth Nagar, Bengaluru, Karnataka ",560052,Bangalore,Karnataka,India,,,,,,12.99038961,77.59449087,GEOMETRIC_CENTER,"NABH
 &
 NABL","CTVS, Cardiology, Orthopedics, General Medcine, Urology, Gastroenterology.","Satish Kumar R U
 9886987557
 Satish.ru@fortishe
 althcare.com
 
 Mahesh babu
 9845403963
 Mahesh.sn@fortish
 ealthcare.com",CGHS_hospitals,1,,12.98833,77.5944,"Fortis Hospitals Limited Cunningham Road Limited.
, 14 Cunningham Road near Sigma Central Mall, Vasanth Nagar, Bengaluru, Karnataka , Bangalore, 560052",12.9882802,77.5943373
43,"Smiles Dental Care
 #74/2, ABOVE
 
 (w.e.f 17/11/2014)","NAGENDRA
 MEDICALS,
 NAGAVARPALYA
 MAIN ROAD,
 C.V.RAMAN NAGAR,
 BANGALORE
 560093",,Bangalore,Karnataka,India,,,,,,12.989247,77.66404,0,"NON NABH
 &
 NON NABL",DENTAL CARE,"Prasad V.K. -
 9035350000 -
 get2prasadsmilesd
 ental@gmail.com
 
 Dr. Anjali Nair -
 9241177880 -
 dr.anjalinair@yaho
 o.co.in",CGHS_hospitals,0,,,,"Smiles Dental Care
 #74/2, ABOVE
 
 (w.e.f 17/11/2014), NAGENDRA
 MEDICALS,
 NAGAVARPALYA
 MAIN ROAD,
 C.V.RAMAN NAGAR,
 BANGALORE
 560093, Bangalore, ",12.9890119,77.6664976
44,Samprathi Eye Hospital & Squint Centre,"No.111, Railway Parallel Road,Kumara Park West Behind Hotel Lalith Ashok Railway Parallel Road, 7th Cross Rd, Bengaluru, Karnataka ",560020,Bangalore,Karnataka,India,,,,,,12.99319989,77.5806839,0,"Non NABH
 Entry level
 (22/07/2018
 â€“
 21/07/2020)
 &
 Non NABL",EXCLUSIVE EYE CARE CENTRE,"Mahadevaiah -
 9686848478 -
 hmahadev1984@g
 mail.com
 
 Venkatachalam V -
 8970935713 -
 kumar9380@yahoo.
 co.in",CGHS_hospitals,1,,12.99318,77.58068,"Samprathi Eye Hospital & Squint Centre, No.111, Railway Parallel Road,Kumara Park West Behind Hotel Lalith Ashok Railway Parallel Road, 7th Cross Rd, Bengaluru, Karnataka , Bangalore, 560020",12.993179,77.5806839
45,Jothi Eye Clinic,"57, KABA PLAZA, LB Rd, Adyar, Chennai, Tamil Nadu ",600020,Chennai,Tamil Nadu,India,,,,,,12.9940157,80.255965,GEOMETRIC_CENTER,NON NABH,Eye Hospital,,CGHS_hospitals,1,,12.99372,80.25596,"Jothi Eye Clinic, 57, KABA PLAZA, LB Rd, Adyar, Chennai, Tamil Nadu , Chennai, 600020",12.993723,80.255965
46,Dr.Solanki Eye Hospital Pvt Ltd,"191/1, 2nd Cross, Link Rd, Malleshwaram, Bengaluru, Karnataka ",560003,Bangalore,Karnataka,India,,,,,,12.99529966,77.57381596,0,"NABH
 (19/08/2018
 â€“
 18/08/2021)
 &
 Non- NABL",EXCLUSIVE EYE CARE CENTRE,"Dr.Priyanka Solanki,
 9538073356
 Priyank_solanki@ya
 hoo.com
 
 Deepa S
 7349433181
 info@drsolankieyeh
 ospital.com",CGHS_hospitals,1,,12.99522,77.57381,"Dr.Solanki Eye Hospital Pvt Ltd, 191/1, 2nd Cross, Link Rd, Malleshwaram, Bengaluru, Karnataka , Bangalore, 560003",12.9951329,77.5738403
47,"Nethradhama Super speciality Eye Hospital Rajajinagar
","560 010 (Land mark- Navarang, 30, 19th Main Rd, 2nd Block, Rajajinagar, Bengaluru, Karnataka ",560010,Bangalore,Karnataka,India,,,,,,12.9976084,77.55092572,0,"Non-NABH
 &
 NON NABL",EXCLUSIVE EYE CARE CENTRE,"Vadiraj.H.S -
 9449003770,
 pr@nethredhama.o
 rg
 
 Dr.Jayalakshmi -
 90350017777 -
 nhplrjn@nethradha
 ma.org",CGHS_hospitals,1,,12.99758,77.55093,"Nethradhama Super speciality Eye Hospital Rajajinagar
, 560 010 (Land mark- Navarang, 30, 19th Main Rd, 2nd Block, Rajajinagar, Bengaluru, Karnataka , Bangalore, 560010",12.9975792,77.5509304
48,"Padmabhushana, Dr M C Modi Eye Hospital, Dr.M.C.Modi Road,","Dr. M.C. Modi Road, West of Chord Road 2nd Stage, 4th B Main, Stage 2, Mahalakshmi Layout, Bengaluru, Karnataka ",560086,Bangalore,Karnataka,India,,,,,,12.99828445,77.54606366,GEOMETRIC_CENTER,"NON NABH
 &
 NON NABL",EXCLUSIVE EYE CARE CENTRE,"Dr. Sowmyalatha. M
 - 9449799316,
 modihospitaltpa@g
 mail.com
 
 Muniraju.P -
 8951282895,
 mcmodihospital@g
 mail.com",CGHS_hospitals,1,,12.99827,77.54604,"Padmabhushana, Dr M C Modi Eye Hospital, Dr.M.C.Modi Road,, Dr. M.C. Modi Road, West of Chord Road 2nd Stage, 4th B Main, Stage 2, Mahalakshmi Layout, Bengaluru, Karnataka , Bangalore, 560086",12.9982734,77.5460446
49,"RV Metropolis and
 Diagnostic and
 Health Care Centre
 Pvt Ltd
 
 (w.e.f 17/11/2014)","# 7&21, 10th Cross,
 Yellappa Garden
 Malleswaram,
 Bangalore-560003",,Bangalore,Karnataka,India,,,,,,13.000941,77.572687,0,"Non NABH
 &
 NABL
 (05/05/2018
 -
 04/05/2020)","TMT, LBC, X-ray, Ultrasound, Echo, ECG Microbiology, Biochemistry, Histopathology,
 Serology, Hematology, Clinical Pathology, Cytology","Aswathanarayana
 Rao G.S -
 9945041392 -
 aswath.rv@metrop
 olisindia.com,
 
 
 Pavan Reddy -
 9945617230 -
 admin.rv@metropo
 lisindia",CGHS_hospitals,0,,,,"RV Metropolis and
 Diagnostic and
 Health Care Centre
 Pvt Ltd
 
 (w.e.f 17/11/2014), # 7&21, 10th Cross,
 Yellappa Garden
 Malleswaram,
 Bangalore-560003, Bangalore, ",13.0016111,77.5760772
50,"Chanre Diagnostic
 Laboratory
 
 (w.e.f 17/11/2014)","# 121 /1, 3rd main
 bet 10th & 11th
 Cross ,Margosa Rd,
 Malleswaram,
 Bangalore â€“
 560003
 
 
 
 
",,Bangalore,Karnataka,India,,,,,,13.001327,77.569469,0,"Non NABH
 &
 NABL
 (19/11/2016
 -
 18/11/2018)","Laboratory Investigations and Ultrasound , 2D ECHO , TMT , Doppler , ECG ,
 DenstistryAdvanced Diagnostic Laboratory","Sridhar. K.S -
 9686197151,
 sridhar@chanredia
 gnotic.com
 
 Ganesh.S -
 9880055499,
 ganesh@chanredia
 gnotic.com",CGHS_hospitals,0,,,,"Chanre Diagnostic
 Laboratory
 
 (w.e.f 17/11/2014), # 121 /1, 3rd main
 bet 10th & 11th
 Cross ,Margosa Rd,
 Malleswaram,
 Bangalore â€“
 560003
 
 
 
 
, Bangalore, ",13.0013244,77.5694788
51,Rajan Eye Care Hospital,"15, 5th St, Bakthavatchalam Nagar, Baktavatsalm Nagar, Adyar, Chennai, Tamil Nadu 600020",,Chennai,Tamil Nadu,India,,,,,,13.0020167,80.2545669,ROOFTOP,NON NABH,Eye Hospital,044 2441 0389,CGHS_hospitals,1,,13.00202,80.25457,"Rajan Eye Care Hospital, 15, 5th St, Bakthavatchalam Nagar, Baktavatsalm Nagar, Adyar, Chennai, Tamil Nadu 600020, Chennai, ",13.002016,80.2545911
52,"Narayana Netralaya-1
 ","121/C, Chord Rd, Near Iskcon Temple, 1st R Block, Rajajinagar, Bengaluru, Karnataka",560010,Bangalore,Karnataka,India,,,,,,13.01180884,77.5521756,ROOFTOP,"NABH
 (03/02/2018
 -
 02/02/2021)
 &
 Non NABL",EXCLUSIVE EYE CARE CENTRE,"Raghu -
 9845635262 -
 raghu@narayanane
 thralaya.com
 
 Bhagya S.M -
 9986928537 -
 Bhagya.sm@naraya
 nanethralaya.com",CGHS_hospitals,1,,13.0118,77.55217,"Narayana Netralaya-1
 , 121/C, Chord Rd, Near Iskcon Temple, 1st R Block, Rajajinagar, Bengaluru, Karnataka, Bangalore, 560010",13.011531,77.552046
53,MIOT International,"4/112, Mount Poonamallee Rd, Sathya Nagar, Manapakkam, Chennai, Tamil Nadu",600089,Chennai,Tamil Nadu,India,,,,,,13.02260891,80.18639498,ROOFTOP,NABH,General,044 4200 2288,CGHS_hospitals,1,,13.02259,80.18637,"MIOT International, 4/112, Mount Poonamallee Rd, Sathya Nagar, Manapakkam, Chennai, Tamil Nadu, Chennai, 600089",13.0225921,80.1863704
54,"MS Ramaiah Memorial Hospital
 ","New BEL Rd, M S Ramaiah Nagar, MSRIT Post, Bengaluru, Karnataka",560054,Bangalore,Karnataka,India,,,,,,13.02829719,77.5703924,GEOMETRIC_CENTER,"NABH
 (14/09/2014
 -
 13/09/2018)
 
 &
 NABL
 (25/07/2018
 -
 24/07/2018)","Anaesthesiology, Cardio Thoracic Surgery, Cardiology, Dental Science, Dermatology,
 Emergency, Medicine, Endocrinology, Gastroenterology (Medical, surgical), General Medicine,
 General Surgery, Intensive care Unit, Nephrology, Neuro-surgery, Neurology, Obstetrics &
 Gynaecology, Oncology (Medical, Radiation, Surgical), Opthalmology, Orthopaedic Surgery
 including joint Replacement Surgery, ENT, Paediatric ( Cardiology, surgery, Neonatology),
 Plactic and Reconstructive Surgery, Psychiatry, Respiratory Medicine, Transplant Services
 (Kidney, Heart), Urology, Vascular Surgery, Laboratory and Diagnostic Services, 2D Echo,
 Audiology, Colonoscopy, CT Scanning, DSA Lab, EEG, ENMG, Fluroscopy, Gastroscopy, Holter
 Monitoring, Mammography, MRI, Spirometry, TMT, Ultrasound, X-Ray, Blood Transfusions
 Services, Blood Bank, Dietetics, Physiotherapy, Rehabilitation, Speech & Language Therapy","Ashwin Kumar -
 9945245727 -
 aswinsg@msrmh.c
 om
 
 
 Elizabeth Chacko -
 8217023559 -
 elizabeth@msrmh.
 com",CGHS_hospitals,1,,13.02826,77.57039,"MS Ramaiah Memorial Hospital
 , New BEL Rd, M S Ramaiah Nagar, MSRIT Post, Bengaluru, Karnataka, Bangalore, 560054",13.0281563,77.5698782
